COUNTYNAME,識字(人),研究所畢業(人),大學院校畢業(人),專科畢業(人),高中畢業(人),高職畢業(人),國中畢業(人),初職畢業(人),小學畢業(人)
新北市,3260251,106677,509322,379265,247256,566161,437697,5847,344672
臺北市,2220274,157795,537757,294354,175238,283768,158189,3884,190557
臺中市,2162698,67125,320171,249384,121051,446373,260788,5323,246966
臺南市,1564240,45180,231248,149535,86734,293775,185343,4951,237826
高雄市,2304507,70522,341482,253357,116215,511947,253248,4033,277579
宜蘭縣,377067,8526,42875,34663,17188,64635,67984,448,54009
桃園縣,1615678,47469,236599,178689,118736,316717,189107,1999,172793
新竹縣,411856,17899,63255,42553,27206,72714,45662,640,52918
苗栗縣,464353,9751,56125,40590,28959,94499,65454,612,70258
彰化縣,1043618,22283,124376,99386,47062,208334,149977,2698,168650
南投縣,435452,8454,45113,39137,31137,75169,67914,728,70894
雲林縣,577700,9899,58816,44733,31635,98308,91212,2045,109011
嘉義縣,443136,6525,40855,34376,24843,80845,69112,1495,87156
屏東縣,716952,12912,75728,63025,43388,158241,94552,1323,112656
臺東縣,187503,2890,15182,12720,11009,36435,26114,384,35767
花蓮縣,281819,5725,28612,26396,19752,53979,35556,677,43588
澎湖縣,82099,1687,8678,6201,5070,14647,11868,170,13830
基隆市,319567,7473,40636,34666,21964,68763,36703,318,37450
新竹市,334475,23480,64868,35652,26624,44662,34197,262,34141
嘉義市,220419,7259,34168,28901,15275,41185,20658,776,25434
金門縣,87057,2653,13120,8750,7094,13897,8540,38,7215
連江縣,8105,282,1312,807,896,1072,795,7,913
