site,Lng,Lat
觀音,121.082761,25.035503001
關山,121.161933,23.045083001
豐原,120.741711,24.256586001
龍潭,121.216350,24.863869001
頭份,120.898572,24.696969001
橋頭,120.305689,22.757506001
線西,120.469061,24.131672001
潮州,120.561175,22.523108001
鳳山,120.358083,22.627392001
臺南,120.202617,22.984581001
臺東,121.150450,22.755358001
臺西,120.202842,23.717533001
彰化,120.541519,24.066000001
嘉義,120.438367,23.464789001
萬華,121.507972,25.046503001
萬里,121.689881,25.179667001
楠梓,120.328289,22.733667001
新營,120.317250,23.305633001
新港,120.345531,23.554839001
新莊,121.432500,25.037972001
新店,121.537778,24.977222001
新竹,120.972075,24.805619001
陽明,121.529583,25.182722001
菜寮,121.481028,25.068950001
湖口,121.038653,24.900142001
復興,120.312017,22.608711001
善化,120.297142,23.115097001
麥寮,120.251825,23.753506001
淡水,121.449239,25.164500001
崙背,120.348742,23.757547001
基隆,121.760056,25.129167001
馬祖,119.949875,26.160469001
馬公,119.566158,23.569031001
桃園,121.319964,24.994789001
埔里,120.967903,23.968842001
苗栗,120.820200,24.565269001
美濃,120.530542,22.883583001
恆春,120.788928,21.958069001
屏東,120.488033,22.673081001
南投,120.685306,23.913000001
前鎮,120.307564,22.605386001
前金,120.288086,22.632567001
金門,118.312256,24.432133001
花蓮,121.599769,23.971956001
林園,120.411750,22.479500001
林口,121.376869,25.077197001
板橋,121.458667,25.012972001
松山,121.578556,25.050694001
忠明,120.641092,24.151958001
宜蘭,121.746394,24.747917001
沙鹿,120.568794,24.225628001
西屯,120.616917,24.162197001
竹東,121.088903,24.740644001
竹山,120.677306,23.756389001
汐止,121.642300,25.067131001
朴子,120.247350,23.465308001
安南,120.217500,23.048197001
永和,121.516306,25.017000001
平鎮,121.203986,24.952786001
左營,120.292917,22.674861001
古亭,121.529556,25.020608001
冬山,121.793872,24.633436001
斗六,120.544994,23.711853001
仁武,120.332631,22.689056001
中壢,121.221667,24.953278001
中山,121.526528,25.062361001
小港,120.337736,22.565833001
大寮,120.425081,22.565747001
大園,121.201811,25.060344001
大里,120.677689,24.099611001
大同,121.513311,25.063200001
士林,121.515389,25.105417001
土城,121.451861,24.982528001
三義,120.758833,24.382942001
三重,121.493806,25.072611001
二林,120.409653,23.925175001
